REPORTE DE INSPECCIÓN: EXERCISE 1 -DOOR PANELS
==================================================
Total Detectados: 86

1. ID: MERGED-GRP2+GRP1-104 | Fam: MERGED | R=1.75 | Pos: (1786.18, -716.24, 1250.96)
2. ID: MERGED-GRP2+GRP1-488 | Fam: MERGED | R=1.75 | Pos: (1837.65, -724.93, 1162.57)
3. ID: MERGED-GRP2+GRP1-744 | Fam: MERGED | R=1.75 | Pos: (1514.28, -731.45, 1119.28)
4. ID: MERGED-GRP2+GRP1-128 | Fam: MERGED | R=1.75 | Pos: (1717.44, -732.90, 1045.19)
5. ID: MERGED-GRP2+GRP1-576 | Fam: MERGED | R=1.75 | Pos: (1690.09, -715.97, 1238.65)
6. ID: MERGED-GRP2+GRP1-24 | Fam: MERGED | R=0.92 | Pos: (1779.52, -720.18, 1220.21)
7. ID: MERGED-GRP2+GRP1-536 | Fam: MERGED | R=1.12 | Pos: (1833.82, -718.45, 1257.02)
8. ID: MERGED-GRP2+GRP1-856 | Fam: MERGED | R=1.33 | Pos: (1971.38, -722.26, 1369.01)
9. ID: MERGED-GRP2+GRP1-304 | Fam: MERGED | R=1.00 | Pos: (1930.75, -721.42, 1273.19)
10. ID: MERGED-GRP2+GRP1-752 | Fam: MERGED | R=0.92 | Pos: (2038.89, -726.87, 1282.04)
11. ID: MERGED-GRP2+GRP1-72 | Fam: MERGED | R=0.92 | Pos: (2004.51, -728.13, 1193.74)
12. ID: MERGED-GRP2+GRP1-456 | Fam: MERGED | R=0.92 | Pos: (1965.76, -731.45, 1133.69)
13. ID: MERGED-GRP2+GRP1-840 | Fam: MERGED | R=0.92 | Pos: (1900.11, -722.11, 1162.03)
14. ID: MERGED-GRP2+GRP1-224 | Fam: MERGED | R=0.92 | Pos: (1891.83, -724.62, 1131.63)
15. ID: MERGED-GRP2+GRP1-608 | Fam: MERGED | R=1.12 | Pos: (1892.11, -735.46, 1063.87)
16. ID: MERGED-GRP2+GRP1-928 | Fam: MERGED | R=1.00 | Pos: (1779.99, -736.20, 1029.07)
17. ID: MERGED-GRP2+GRP1-440 | Fam: MERGED | R=1.12 | Pos: (1672.83, -735.03, 1022.24)
18. ID: MERGED-GRP2+GRP1-760 | Fam: MERGED | R=0.92 | Pos: (1590.35, -734.58, 1024.66)
19. ID: MERGED-GRP2+GRP1-208 | Fam: MERGED | R=1.12 | Pos: (1495.97, -734.00, 1024.99)
20. ID: MERGED-GRP2+GRP1-528 | Fam: MERGED | R=1.00 | Pos: (1414.68, -736.33, 1022.92)
21. ID: MERGED-GRP2+GRP1-40 | Fam: MERGED | R=1.33 | Pos: (1330.91, -737.54, 1026.36)
22. ID: MERGED-GRP2+GRP1-424 | Fam: MERGED | R=1.33 | Pos: (1257.56, -735.60, 1151.65)
23. ID: MERGED-GRP2+GRP1-872 | Fam: MERGED | R=1.12 | Pos: (1483.55, -730.71, 1170.78)
24. ID: MERGED-GRP2+GRP1-256 | Fam: MERGED | R=1.12 | Pos: (1426.34, -733.77, 1233.52)
25. ID: MERGED-GRP2+GRP1-640 | Fam: MERGED | R=1.33 | Pos: (1352.13, -737.53, 1277.06)
26. ID: MERGED-GRP2+GRP1-152 | Fam: MERGED | R=1.33 | Pos: (2058.33, -726.93, 1378.51)
27. ID: MERGED-GRP2+GRP1-600 | Fam: MERGED | R=1.12 | Pos: (1562.24, -732.26, 1083.59)
28. ID: MERGED-GRP2+GRP1-920 | Fam: MERGED | R=0.92 | Pos: (2003.93, -720.03, 1325.75)
29. ID: MERGED-GRP2+GRP1-368 | Fam: MERGED | R=0.92 | Pos: (1996.43, -721.51, 1253.81)
30. ID: MERGED-GRP2+GRP1-752 | Fam: MERGED | R=0.92 | Pos: (1951.43, -721.24, 1212.32)
31. ID: MERGED-GRP2+GRP1-136 | Fam: MERGED | R=0.92 | Pos: (1242.84, -744.97, 1539.34)
32. ID: MERGED-GRP2+GRP1-520 | Fam: MERGED | R=1.00 | Pos: (1576.52, -752.25, 1533.50)
33. ID: MERGED-GRP2+GRP1-968 | Fam: MERGED | R=0.92 | Pos: (1314.74, -742.75, 1543.75)
34. ID: MERGED-GRP2+GRP1-352 | Fam: MERGED | R=1.75 | Pos: (1533.15, -750.74, 1445.75)
35. ID: MERGED-GRP2+GRP1-672 | Fam: MERGED | R=1.00 | Pos: (1245.80, -746.42, 1503.13)
36. ID: MERGED-GRP2+GRP1-184 | Fam: MERGED | R=0.92 | Pos: (1323.63, -743.52, 1499.07)
37. ID: MERGED-GRP2+GRP1-568 | Fam: MERGED | R=0.92 | Pos: (1396.94, -743.03, 1533.27)
38. ID: MERGED-GRP2+GRP1-952 | Fam: MERGED | R=0.92 | Pos: (1390.13, -747.75, 1464.94)
39. ID: MERGED-GRP2+GRP1-336 | Fam: MERGED | R=0.92 | Pos: (1440.13, -749.66, 1471.37)
