ID,X,Y,Z,Radio (mm),Altura (mm),Aletas_Detectadas,Es_HeatStake_Potencial,Distancia_Origen
86,549.704452133834,89152.3473410999,-29762.9937527808,95027.4304,2.9026,0,False,93990.84534432535
88,1624.1286527517,-13554.8754940168,5390.91385805716,13534.7314,0.6756,0,False,14677.683596670797
87,1601.12539014545,-10437.6108379417,4323.76764337532,10239.7849,0.599,0,False,11410.621768912764
234,2065.25751851983,-725.93713093363,1381.49355621941,0.5,0.8167,4,True,2588.589921510664
230,2058.34683246957,-739.43713093363,1378.47435172181,3.0,20.2481,12,True,2585.2950492537084
231,2058.34683246957,-739.43713093363,1378.47435172181,2.0,20.0014,2,False,2585.2950492537084
232,2057.6512773198,-723.43713093363,1385.56817189895,3.0,0.819,4,True,2584.0064280974
233,2063.35378601336,-725.93713093363,1372.8348842209,0.5,0.8167,4,True,2582.4579732606744
235,2050.98132613479,-725.93713093363,1380.09376331733,0.5,0.8167,4,True,2576.464227147189
236,2054.53061388947,-725.93713093363,1371.9697646302,0.5,0.8167,4,True,2574.952775593494
515,1705.83877494788,-719.552213085873,1762.99963856242,0.5,0.8586,4,True,2556.522841486789
9,2006.06651716332,-723.154958052563,1406.87630398837,0.5,25.9052,2,False,2554.712684307915
519,1712.95144705919,-719.552213085873,1751.43106233766,0.5,0.8586,4,True,2553.325050490081
514,1701.43372142285,-735.452213085873,1752.32047379992,3.0,30.0,12,True,2550.7633581000987
513,1701.43372142285,-735.452213085873,1752.32047379992,2.0,30.0,1,False,2550.7633581000987
516,1692.63846858724,-719.552213085873,1759.80997205687,0.5,0.8586,4,True,2545.527746941474
280,1987.53633352041,-720.154958052563,1413.19804762033,0.5,17.4724,2,False,2542.843401090471
518,1704.14701381418,-719.552213085873,1741.09162252375,0.5,0.8586,4,True,2540.3292050580667
517,1691.59290270577,-719.552213085873,1746.27007351889,0.5,0.8586,4,True,2535.488336693541
278,1976.09729716702,-719.154958052563,1401.00080532114,0.5,25.1004,1,False,2526.8453925938697
279,1973.41105919749,-722.118760605206,1399.5105416952,3.5,25.723,0,False,2524.7646364160264
8,1974.8526871191,-719.154958052563,1398.71442181056,3.5,26.0158,1,False,2524.604726149019
7,1972.09535639799,-722.052737770622,1398.71442181056,0.5,26.4424,0,False,2523.276101545254
136,2046.42264240094,-725.7,1282.4459031065,0.5,0.8167,4,True,2521.736230402754
135,2040.83139641692,-725.7,1289.32592974744,0.5,0.8167,4,True,2520.7131196786627
131,2038.89224726845,-739.2,1282.03807148431,3.0,23.2196,12,True,2519.349093060864
130,2038.89224726845,-739.2,1282.03807148431,2.0,23.0167,2,False,2519.349093060864
251,2014.78848542557,-718.300000000002,1329.69975470736,0.5,0.808,4,True,2518.6164790758194
134,2041.60713826058,-725.7,1275.00226702538,0.5,0.8167,4,True,2514.04673343922
252,2003.53206106391,-718.300000000002,1337.29679169697,0.5,0.808,4,True,2513.6543753654782
120,1978.43458135847,-721.537130933634,1371.42218905204,0.5,0.808,4,True,2513.0893427523215
132,2032.56031221897,-725.7,1286.13438397393,0.5,0.8167,4,True,2512.3860305390326
249,2003.93206106391,-731.300000000002,1325.7517037119,3.0,24.5172,12,True,2511.6052586453266
250,2003.93206106391,-731.300000000002,1325.7517037119,2.0,24.4541,2,False,2511.6052586453266
117,1971.39365364303,-734.537130933634,1368.7194301288,3.0,22.2115,12,True,2509.8467309292687
118,1971.39365364303,-734.537130933634,1368.7194301288,2.0,22.1638,2,False,2509.8467309292687
119,1970.93796921895,-719.037130933634,1377.41440691115,3.0,0.809,4,True,2509.757223823967
255,2011.04170031571,-718.300000000002,1316.64664543134,0.5,0.808,4,True,2508.745104496331
133,2033.03974704485,-725.7,1277.28187356831,0.5,0.8167,4,True,2508.2543905294697
121,1976.13989644919,-721.537130933634,1362.85830838325,0.5,0.808,4,True,2506.6167418222135
