ID,Family,Center_X,Center_Y,Center_Z,Radius,Volume,Cylinders,Planes,Confidence
GRP1-1,GRP1,1790.080,-715.622,1254.863,0.50,15.83,2,3,HIGH
GRP1-2,GRP1,1841.441,-724.234,1165.006,0.50,15.83,2,3,HIGH
GRP1-3,GRP1,1513.509,-730.877,1115.024,0.50,15.99,2,3,HIGH
GRP1-4,GRP1,1712.495,-732.006,1046.536,0.50,15.63,2,3,HIGH
GRP1-5,GRP1,1253.142,-742.270,1215.135,0.50,1.91,3,4,HIGH
GRP1-6,GRP1,1299.768,-744.398,1267.280,0.50,1.91,3,4,HIGH
GRP1-7,GRP1,1387.230,-742.976,1263.173,0.50,2.54,4,4,HIGH
GRP1-8,GRP1,1694.522,-715.324,1238.914,0.50,15.86,2,3,HIGH
GRP1-9,GRP1,1779.525,-719.546,1220.207,0.50,3.18,5,4,HIGH
GRP1-10,GRP1,1833.848,-717.300,1255.465,0.50,1.90,3,4,HIGH
GRP1-11,GRP1,1971.492,-721.537,1366.837,0.50,2.54,4,4,HIGH
GRP1-12,GRP1,1930.805,-720.400,1272.867,0.50,2.54,4,4,HIGH
GRP1-13,GRP1,2038.892,-725.700,1282.038,0.50,3.21,5,4,HIGH
GRP1-14,GRP1,2004.555,-727.200,1193.704,0.50,3.21,5,4,HIGH
GRP1-15,GRP1,1965.765,-730.567,1133.682,0.50,3.21,5,4,HIGH
GRP1-16,GRP1,1900.111,-721.067,1162.031,0.50,3.17,5,4,HIGH
GRP1-17,GRP1,1891.911,-723.567,1131.580,0.50,3.17,5,4,HIGH
GRP1-18,GRP1,1892.669,-734.300,1062.403,0.50,1.92,3,4,HIGH
GRP1-19,GRP1,1780.059,-735.200,1028.741,0.50,2.57,4,4,HIGH
GRP1-20,GRP1,1672.687,-733.800,1020.683,0.50,1.92,3,4,HIGH
GRP1-21,GRP1,1590.354,-733.600,1024.660,0.50,3.21,5,4,HIGH
GRP1-22,GRP1,1494.438,-732.500,1024.731,0.50,1.92,3,4,HIGH
GRP1-23,GRP1,1414.685,-735.100,1022.621,0.50,2.57,4,4,HIGH
GRP1-24,GRP1,1330.790,-735.500,1025.155,0.50,1.28,2,4,HIGH
GRP1-25,GRP1,1291.954,-738.198,1047.042,0.50,0.64,1,4,HIGH
GRP1-26,GRP1,1266.845,-734.800,1087.708,0.50,1.28,2,4,HIGH
GRP1-27,GRP1,1256.757,-733.500,1151.061,0.50,1.28,2,4,HIGH
GRP1-28,GRP1,1485.056,-729.543,1171.184,0.50,1.90,3,4,HIGH
GRP1-29,GRP1,1427.201,-732.500,1233.296,0.50,1.90,3,4,HIGH
GRP1-30,GRP1,1352.174,-735.961,1277.750,0.50,1.27,2,4,HIGH
GRP1-31,GRP1,2058.531,-725.937,1376.598,0.50,2.57,4,4,HIGH
GRP1-32,GRP1,1560.835,-731.300,1082.903,0.50,1.92,3,4,HIGH
GRP1-33,GRP1,2003.932,-718.300,1325.752,0.50,3.17,5,4,HIGH
GRP1-34,GRP1,1996.434,-719.786,1253.810,0.50,3.17,5,4,HIGH
GRP1-35,GRP1,1951.434,-719.552,1212.320,0.50,3.37,5,4,HIGH
GRP1-36,GRP1,1243.068,-743.824,1539.232,0.50,3.17,5,4,HIGH
GRP1-37,GRP1,1511.081,-753.570,1434.967,0.50,2.53,1,3,HIGH
GRP1-38,GRP1,1576.584,-751.629,1533.686,0.50,2.54,4,4,HIGH
GRP1-39,GRP1,1314.824,-741.929,1543.568,0.50,3.17,5,4,HIGH
GRP1-40,GRP1,1534.726,-747.903,1449.025,0.50,1.27,2,4,HIGH
GRP1-41,GRP1,1245.800,-744.964,1502.729,0.50,2.54,4,4,HIGH
GRP1-42,GRP1,1323.627,-742.457,1499.074,0.50,3.17,5,4,HIGH
GRP1-43,GRP1,1396.940,-742.195,1533.269,0.50,3.17,5,4,HIGH
GRP1-44,GRP1,1390.126,-746.972,1464.937,0.50,3.17,5,4,HIGH
GRP1-45,GRP1,1440.131,-748.972,1471.371,0.50,3.17,5,4,HIGH
GRP1-46,GRP1,1468.077,-745.048,1473.720,0.50,2.54,4,4,HIGH
GRP1-47,GRP1,1452.360,-741.781,1533.608,0.50,3.17,5,4,HIGH
GRP1-48,GRP1,1496.569,-745.317,1536.043,0.50,5.08,8,4,HIGH
GRP1-49,GRP1,1718.121,-760.729,1517.780,0.50,2.54,4,4,HIGH
GRP1-50,GRP1,1756.935,-764.294,1471.019,0.50,3.17,5,4,HIGH
GRP1-51,GRP1,1587.117,-780.739,1493.003,0.50,42.85,17,4,HIGH
GRP1-52,GRP1,1675.357,-786.609,1495.691,0.50,6.06,2,4,HIGH
GRP1-53,GRP1,1581.057,-755.046,1476.646,0.50,13.10,2,3,HIGH
GRP1-54,GRP1,1701.434,-719.552,1752.320,0.50,3.37,5,4,HIGH
GRP2-1,GRP2,1790.079,-715.622,1254.864,3.00,584.80,2,7,HIGH
GRP2-2,GRP2,1841.441,-724.234,1165.006,3.00,584.74,2,7,HIGH
GRP2-3,GRP2,1513.509,-730.877,1115.024,3.00,595.49,2,7,HIGH
GRP2-4,GRP2,1712.495,-732.006,1046.536,3.00,570.27,2,7,HIGH
GRP2-5,GRP2,1694.522,-715.324,1238.914,3.00,585.70,2,8,HIGH
GRP2-6,GRP2,1779.525,-732.546,1220.207,3.00,675.20,1,12,HIGH
GRP2-7,GRP2,1834.668,-730.300,1260.118,3.00,711.76,1,15,HIGH
GRP2-8,GRP2,1971.394,-734.537,1368.719,3.00,628.02,1,12,HIGH
GRP2-9,GRP2,1970.938,-719.037,1377.414,3.00,22.87,1,4,HIGH
GRP2-10,GRP2,1930.507,-733.400,1274.729,3.00,702.25,1,10,HIGH
GRP2-11,GRP2,2038.892,-739.200,1282.038,3.00,656.52,1,12,HIGH
