REPORTE: 59 Heat Stakes detectados.
LEYENDA: GRP1=Verde (Común), GRP2=Azul, GRP3=Magenta    

GRP1-1: R=1.00mm en (np.float64(5422.84271779824), np.float64(-743.0301240961435), np.float64(1579.060973467155))
GRP1-2: R=1.00mm en (np.float64(5604.596920431461), np.float64(-725.6180739129622), np.float64(1477.0902735697266))
GRP1-3: R=1.00mm en (np.float64(5410.3979621525405), np.float64(-716.3336363663817), np.float64(1612.675144426665))
GRP1-4: R=1.00mm en (np.float64(5460.366533692466), np.float64(-713.103903299096), np.float64(1612.424283162778))
GRP1-5: R=1.00mm en (np.float64(5438.037896928265), np.float64(-698.7534831214338), np.float64(1295.71369787559))
GRP1-6: R=1.00mm en (np.float64(5484.059013354308), np.float64(-698.6011675308546), np.float64(1347.1165259316267))
GRP1-7: R=1.00mm en (np.float64(5785.96813411903), np.float64(-760.3486200574885), np.float64(1485.8012987959235))
GRP1-8: R=1.00mm en (np.float64(5716.904773850234), np.float64(-737.8698748829546), np.float64(1513.3125092778))
GRP1-9: R=1.00mm en (np.float64(5508.052796541699), np.float64(-710.103903299097), np.float64(1591.76630010185))
GRP1-10: R=1.00mm en (np.float64(5806.964323286559), np.float64(-745.4939901269414), np.float64(1526.9926073673948))
GRP1-11: R=1.00mm en (np.float64(5610.829098561884), np.float64(-743.283910489234), np.float64(1456.183444575715))
GRP1-12: R=1.00mm en (np.float64(5520.570813210118), np.float64(-741.7211270117765), np.float64(1492.919644005017))
GRP1-13: R=1.00mm en (np.float64(5475.370129068873), np.float64(-741.7211270117765), np.float64(1446.208851321065))
GRP1-14: R=1.00mm en (np.float64(5638.816147925694), np.float64(-724.7218044114579), np.float64(1518.76197743905))
GRP1-15: R=1.00mm en (np.float64(5540.6743045417115), np.float64(-716.8436166799622), np.float64(1590.2523866984525))
GRP2-1: R=3.17mm en (np.float64(6177.37098324288), np.float64(-714.250629735502), np.float64(1230.32255525429))
GRP2-2: R=3.17mm en (np.float64(5772.49281089647), np.float64(-724.652148041631), np.float64(1048.64365681921))
GRP2-3: R=3.17mm en (np.float64(6156.38716585585), np.float64(-749.912837520701), np.float64(1156.45243979944))
GRP2-4: R=3.17mm en (np.float64(5988.94630474862), np.float64(-715.234147234714), np.float64(1086.09963104007))
GRP2-5: R=3.17mm en (np.float64(6095.82060067003), np.float64(-714.212435057899), np.float64(1111.57077131554))
GRP2-6: R=3.17mm en (np.float64(6037.70453477009), np.float64(-714.36649750381), np.float64(1097.57967111928))
GRP2-7: R=3.18mm en (np.float64(6176.75298599328), np.float64(-745.81559596097), np.float64(1214.11016082489))
GRP2-8: R=3.17mm en (np.float64(5891.18648818717), np.float64(-715.498299699731), np.float64(1065.42979247652))
GRP2-9: R=3.17mm en (np.float64(5940.04734761226), np.float64(-716.674883640375), np.float64(1075.06982184603))
GRP2-10: R=3.17mm en (np.float64(5837.69404265645), np.float64(-752.51883341367), np.float64(1849.94216967388))
GRP2-11: R=3.17mm en (np.float64(5930.81460334433), np.float64(-771.404015155402), np.float64(1531.94844010116))
GRP2-12: R=3.17mm en (np.float64(5598.31021661056), np.float64(-749.822063133816), np.float64(1382.17498095253))
GRP2-13: R=3.17mm en (np.float64(5542.01210871867), np.float64(-744.217843053319), np.float64(1351.34103051556))
GRP2-14: R=3.17mm en (np.float64(5559.16547493929), np.float64(-726.656525034388), np.float64(1432.6332758844))
GRP2-15: R=3.18mm en (np.float64(5715.33305073711), np.float64(-766.177347733894), np.float64(1442.47840085075))
GRP2-16: R=3.17mm en (np.float64(5437.26203070466), np.float64(-735.729960851162), np.float64(1344.75935945989))
GRP2-17: R=3.18mm en (np.float64(5861.98780939923), np.float64(-772.664628590081), np.float64(1483.25914796729))
GRP2-18: R=3.17mm en (np.float64(5560.20519570988), np.float64(-716.269529635075), np.float64(1530.54178491982))
GRP2-19: R=3.17mm en (np.float64(5426.9487385119), np.float64(-738.165275283416), np.float64(1495.40427712896))
GRP2-20: R=3.18mm en (np.float64(5906.22404813377), np.float64(-768.606093695333), np.float64(1508.55869360689))
GRP2-21: R=3.17mm en (np.float64(5419.7276272039), np.float64(-734.679784891282), np.float64(1444.08856893323))
GRP2-22: R=3.17mm en (np.float64(5425.08860540187), np.float64(-735.07931145197), np.float64(1548.90920142731))
GRP2-23: R=3.17mm en (np.float64(5837.69404265645), np.float64(-752.51883341367), np.float64(1549.94216967388))
GRP2-24: R=3.17mm en (np.float64(5765.39226787071), np.float64(-769.156001186721), np.float64(1448.2441727196))
GRP2-25: R=3.17mm en (np.float64(5443.99435839134), np.float64(-734.138877797544), np.float64(1396.44136628521))
GRP2-26: R=3.18mm en (np.float64(5664.94162833635), np.float64(-763.413126053959), np.float64(1451.13005269731))
GRP2-27: R=3.17mm en (np.float64(5425.07728103671), np.float64(-715.579311452106), np.float64(1522.46117274454))
GRP2-28: R=3.18mm en (np.float64(5905.67304608436), np.float64(-739.466001177159), np.float64(1537.02506020226))
GRP2-29: R=3.17mm en (np.float64(5885.86299882335), np.float64(-758.966001177452), np.float64(1539.98420371176))
GRP2-30: R=3.18mm en (np.float64(5815.25608815779), np.float64(-771.784109873799), np.float64(1460.44614558984))
GRP3-1: R=3.90mm en (np.float64(6177.37098324288), np.float64(-714.250629735502), np.float64(1230.32255525429))
GRP3-2: R=3.90mm en (np.float64(5425.07728103668), np.float64(-715.579311452224), np.float64(1522.46117274452))
GRP3-3: R=3.90mm en (np.float64(5905.67304608436), np.float64(-739.466001177159), np.float64(1537.02506020226))
LEGACY-0: R=0.33mm en (np.float64(5772.5719654912455), np.float64(-712.1988242694473), np.float64(1048.0573080201912))
LEGACY-1: R=0.33mm en (np.float64(6157.4160337768635), np.float64(-737.2221824050215), np.float64(1156.1340715929057))
LEGACY-2: R=0.33mm en (np.float64(5988.9463047486215), np.float64(-702.7977691317606), np.float64(1085.7470712936513))
LEGACY-3: R=0.33mm en (np.float64(6095.941649971657), np.float64(-701.7954234340656), np.float64(1111.352392594677))
LEGACY-4: R=0.33mm en (np.float64(6037.704534770092), np.float64(-701.9301194008567), np.float64(1097.2271113728614))
LEGACY-5: R=0.34mm en (np.float64(6174.515039358422), np.float64(-733.2089884155413), np.float64(1214.4471604548564))
LEGACY-6: R=0.33mm en (np.float64(5891.088647727296), np.float64(-703.0352926879899), np.float64(1065.0356186969618))
