REPORTE HEAT STAKES
==============================
Total Detectados: 86

1. MERGED-GRP1+GRP2-72 (MERGED) | Pos: (np.float64(1786.190404549474), np.float64(-716.2384811573006), np.float64(1250.9629601577503)) | R=1.75
2. MERGED-GRP1+GRP2-456 (MERGED) | Pos: (np.float64(1837.6619200029286), np.float64(-724.9341785688886), np.float64(1162.5772278604768)) | R=1.75
3. MERGED-GRP1+GRP2-712 (MERGED) | Pos: (np.float64(1514.2783162054038), np.float64(-731.4493796184439), np.float64(1119.2688598340378)) | R=1.75
4. MERGED-GRP1+GRP2-96 (MERGED) | Pos: (np.float64(1717.4320012256517), np.float64(-732.9037783736223), np.float64(1045.1875674493826)) | R=1.75
5. MERGED-GRP1+GRP2-544 (MERGED) | Pos: (np.float64(1690.0985399533922), np.float64(-715.9687259878616), np.float64(1238.6551735789042)) | R=1.75
6. MERGED-GRP1+GRP2-992 (MERGED) | Pos: (np.float64(1779.5249890403622), np.float64(-720.177072400143), np.float64(1220.2137282259523)) | R=0.92
7. MERGED-GRP1+GRP2-504 (MERGED) | Pos: (np.float64(1833.8222114948335), np.float64(-718.4474836056182), np.float64(1257.0249110378288)) | R=1.12
8. MERGED-GRP1+GRP2-824 (MERGED) | Pos: (np.float64(1971.3771933838013), np.float64(-722.2620673202895), np.float64(1369.0064410494203)) | R=1.33
9. MERGED-GRP1+GRP2-272 (MERGED) | Pos: (np.float64(1930.7519867608717), np.float64(-721.4200668677204), np.float64(1273.1908214781347)) | R=1.00
10. MERGED-GRP1+GRP2-720 (MERGED) | Pos: (np.float64(2038.8858392819966), np.float64(-726.8704278227373), np.float64(1282.039889309848)) | R=0.92
11. MERGED-GRP1+GRP2-40 (MERGED) | Pos: (np.float64(2004.5100120631357), np.float64(-728.1314182456139), np.float64(1193.7451322102588)) | R=0.92
12. MERGED-GRP1+GRP2-424 (MERGED) | Pos: (np.float64(1965.7630529772832), np.float64(-731.4466191193391), np.float64(1133.6860805256479)) | R=0.92
13. MERGED-GRP1+GRP2-808 (MERGED) | Pos: (np.float64(1900.1092372223147), np.float64(-722.1136850196125), np.float64(1162.034203841174)) | R=0.92
14. MERGED-GRP1+GRP2-192 (MERGED) | Pos: (np.float64(1891.8285779091193), np.float64(-724.6185834623428), np.float64(1131.6315134234683)) | R=0.92
15. MERGED-GRP1+GRP2-576 (MERGED) | Pos: (np.float64(1892.11043725908), np.float64(-735.4650567884732), np.float64(1063.8668366003508)) | R=1.12
16. MERGED-GRP1+GRP2-896 (MERGED) | Pos: (np.float64(1779.9862102931304), np.float64(-736.2051510245321), np.float64(1029.065418533883)) | R=1.00
17. MERGED-GRP1+GRP2-408 (MERGED) | Pos: (np.float64(1672.8335276933662), np.float64(-735.0297578322487), np.float64(1022.2409243438158)) | R=1.12
18. MERGED-GRP1+GRP2-728 (MERGED) | Pos: (np.float64(1590.3542399246053), np.float64(-734.5821702042075), np.float64(1024.6628375513696)) | R=0.92
19. MERGED-GRP1+GRP2-176 (MERGED) | Pos: (np.float64(1495.9734667334067), np.float64(-734.0001380973496), np.float64(1024.9937399062035)) | R=1.12
20. MERGED-GRP1+GRP2-496 (MERGED) | Pos: (np.float64(1414.6803584627962), np.float64(-736.3327069376637), np.float64(1022.9161349789532)) | R=1.00
21. MERGED-GRP1+GRP2-8 (MERGED) | Pos: (np.float64(1330.9077198942248), np.float64(-737.548182728841), np.float64(1026.3562157744125)) | R=1.33
22. MERGED-GRP1+GRP2-392 (MERGED) | Pos: (np.float64(1257.5623377656887), np.float64(-735.6018349177699), np.float64(1151.6518692564225)) | R=1.33
23. MERGED-GRP1+GRP2-840 (MERGED) | Pos: (np.float64(1483.55380745508), np.float64(-730.714173958859), np.float64(1170.7790333876032)) | R=1.12
24. MERGED-GRP1+GRP2-224 (MERGED) | Pos: (np.float64(1426.3455390791923), np.float64(-733.7656026527458), np.float64(1233.5245728389225)) | R=1.12
25. MERGED-GRP1+GRP2-608 (MERGED) | Pos: (np.float64(1352.1278878440546), np.float64(-737.5293519064871), np.float64(1277.061692362263)) | R=1.33
26. MERGED-GRP1+GRP2-56 (MERGED) | Pos: (np.float64(2058.334513695896), np.float64(-726.9309681904734), np.float64(1378.5091896302704)) | R=1.33
27. MERGED-GRP1+GRP2-504 (MERGED) | Pos: (np.float64(1562.2379608464619), np.float64(-732.2599387364285), np.float64(1083.589170880465)) | R=1.12
28. MERGED-GRP1+GRP2-824 (MERGED) | Pos: (np.float64(2003.9305259397108), np.float64(-720.0314814334752), np.float64(1325.7519825393192)) | R=0.92
29. MERGED-GRP1+GRP2-336 (MERGED) | Pos: (np.float64(1996.4320574576725), np.float64(-721.5080461595576), np.float64(1253.8107871560262)) | R=0.92
30. MERGED-GRP1+GRP2-720 (MERGED) | Pos: (np.float64(1951.4322935991024), np.float64(-721.2392450032847), np.float64(1212.3218779510014)) | R=0.92
31. MERGED-GRP1+GRP2-104 (MERGED) | Pos: (np.float64(1242.8358304709175), np.float64(-744.9756867801367), np.float64(1539.342932748541)) | R=0.92
32. MERGED-GRP1+GRP2-488 (MERGED) | Pos: (np.float64(1576.5175710978533), np.float64(-752.2466533569544), np.float64(1533.4974320627866)) | R=1.00
33. MERGED-GRP1+GRP2-936 (MERGED) | Pos: (np.float64(1314.744786958044), np.float64(-742.7467646275103), np.float64(1543.746417910589)) | R=0.92
34. MERGED-GRP1+GRP2-320 (MERGED) | Pos: (np.float64(1533.1504753313168), np.float64(-750.739284726296), np.float64(1445.7524931484763)) | R=1.75
35. MERGED-GRP1+GRP2-640 (MERGED) | Pos: (np.float64(1245.8000929281275), np.float64(-746.4183632220531), np.float64(1503.1339337636368)) | R=1.00
36. MERGED-GRP1+GRP2-152 (MERGED) | Pos: (np.float64(1323.6267225104914), np.float64(-743.5178218783389), np.float64(1499.0652488070118)) | R=0.92
37. MERGED-GRP1+GRP2-536 (MERGED) | Pos: (np.float64(1396.9398369525386), np.float64(-743.0262231226566), np.float64(1533.2712752892903)) | R=0.92
38. MERGED-GRP1+GRP2-920 (MERGED) | Pos: (np.float64(1390.1263574255056), np.float64(-747.7471439219298), np.float64(1464.940627183412)) | R=0.92
39. MERGED-GRP1+GRP2-304 (MERGED) | Pos: (np.float64(1440.1302412560742), np.float64(-749.6578143211924), np.float64(1471.3727311936307)) | R=0.92
40. MERGED-GRP1+GRP2-688 (MERGED) | Pos: (np.float64(1468.3396270187745), np.float64(-746.2291105973552), np.float64(1473.8946867793686)) | R=1.00
41. MERGED-GRP1+GRP2-136 (MERGED) | Pos: (np.float64(1452.3599185723021), np.float64(-742.7388729632971), np.float64(1533.5931770887555)) | R=0.92
42. MERGED-GRP1+GRP2-520 (MERGED) | Pos: (np.float64(1495.9040467146099), np.float64(-746.2264596258347), np.float64(1536.8053809366265)) | R=0.78
43. MERGED-GRP1+GRP2-840 (MERGED) | Pos: (np.float64(1718.5315837694586), np.float64(-761.3821629224194), np.float64(1517.7450536575511)) | R=1.00
